AURUM,NC added,GOLD,Joht Labelling,Paper Labelling,Final Names,Paper Short Name,Organ System,QOF,
CPRDAurum_SecondaryMalignancy_other,x,CPRD_SEC_OTHER,Secondary Malignancy - other,Secondary Malignancy - other,Secondary Malignancy - other,malig_sec_other,Cancers,1,
CPRDAurum_SecondaryMalignancy_Peritoneum,x,CPRD_SEC_PERITONEUM,Secondary Malignancy - Peritoneum,Secondary Malignancy - Peritoneum,Secondary Malignancy - Peritoneum,malig_sec_peritoneum,Cancers,1,
CPRDAurum_SecondaryMalignancy_Pleura,x,CPRD_SEC_PLEURA,Secondary Malignancy - Pleura,Secondary Malignancy - Pleura,Secondary Malignancy - Pleura,malig_sec_pleura,Cancers,1,
CPRDAurum_SecondaryPolycythaemia,x,CPRD_2RY_POLYCYTHAEMIA,Secondary Polycythaemia,Secondary Polycythaemia,Secondary Polycythaemia,sec_polycythaemia,Blood and Immune System Diagnoses,,
CPRDAurum_SecondaryPolycythaemia,x,CPRD_2RY_POLYCYTHAEMIA,Secondary Polycythaemia,Secondary Polycythaemia,,sec_polycythaemia,Blood and Immune System Diagnoses,,
CPRDAurum_SecondaryPulmonaryHypertension,x,CPRD_SEC_PULM_HTN,Secondary Pulmonary Hypertension,Secondary Pulmonary Hypertension,Secondary Pulmonary Hypertension,pulm_htn_sec,Circulatory System Diagnoses,,
CPRDAurum_SecondaryThrombocytopaenia,x,CPRD_SEC_OTH_THROMBOCYTOPAENIA,Secondary Thrombocytopaenia,Secondary Thrombocytopaenia,Secondary Thrombocytopaenia,sec_thrombocytopaenia,Blood and Immune System Diagnoses,,
Sickle_Cell_Disease_birm_cam_v2,bigger list,CPRD_SICKLE_CELL,Sickle Cell Disease,Sickle Cell Disease,Sickle Cell Disease,sickle,Blood and Immune System Diagnoses,,
Sickle_Cell_Trait_birm_cam,x,CPRD_SICKLE_TRAIT,Sickle Cell Trait,Sickle Cell Trait,Sickle Cell Trait,sickle_trait,Blood and Immune System Diagnoses,,
CPRDAurum_SickSinusSyndrome,x,CPRD_SICK_SINUS,Sick Sinus Syndrome,Sick Sinus Syndrome,Sick Sinus Syndrome,sick_sinus,Circulatory System Diagnoses,,
Sjogrenssyndrome_Bham_CAM,bigger list,CPRD_SJOGREN,Sjogren Syndrome,Sjogren Syndrome,Sjogren Syndrome,sjogren,Musculoskeletal Diagnoses,,
